year,rot_trt,param,estimate,loCI,hiCI
2018,2y,Asym,47.08994154235414,43.51904861426768,50.6608344704406
2018,2y,xmid,355.25648535592285,272.5855856531234,437.9273850587223
2018,2y,scal,89.12958678751824,5.59291210646623,172.66626146857024
2018,4y,Asym,55.07456530258422,50.98018587938651,59.16894472578193
2018,4y,xmid,332.9805610800527,279.2544581956362,386.70666396446927
2018,4y,scal,75.02916714917548,14.025997324392392,136.03233697395856
2019,4y,Asym,126.89702804934737,108.12692729748613,145.6671288012086
2019,4y,xmid,617.09020810295,538.4112002483313,695.7692159575687
2019,4y,scal,210.72199761025692,162.00440867892814,259.4395865415857
2019,2y,Asym,114.50910445205355,93.71745896636739,135.3007499377397
2019,2y,xmid,648.8430286457378,550.7776790200925,746.9083782713832
2019,2y,scal,218.21870171874076,162.25193155191232,274.1854718855692
2020,2y,Asym,89.02998378891121,80.21561152380262,97.8443560540198
2020,2y,xmid,509.3803907727895,473.4488640675754,545.3119174780036
2020,2y,scal,122.83836676802132,96.3436748318664,149.33305870417624
2020,4y,Asym,91.07452995931594,78.75023740243634,103.39882251619554
2020,4y,xmid,469.1654102866077,423.0803604262093,515.250460147006
2020,4y,scal,116.3244884442601,79.98494521922835,152.66403166929183
