year,block,rot_trt,value,param
2018,b1,2y,46.80306687806779,Asym
2018,b1,2y,343.0612588878242,xmid
2018,b1,2y,84.62622223581033,scal
2018,b1,4y,60.48710210841896,Asym
2018,b1,4y,361.73432043345724,xmid
2018,b1,4y,86.55407072287845,scal
2018,b2,2y,42.12421612634798,Asym
2018,b2,2y,315.6840437158195,xmid
2018,b2,2y,67.1410124776774,scal
2018,b2,4y,54.402742578398566,Asym
2018,b2,4y,322.42358861711233,xmid
2018,b2,4y,74.1714784528119,scal
2018,b3,2y,40.56530353415081,Asym
2018,b3,2y,362.7321859801927,xmid
2018,b3,2y,105.08941543023005,scal
2018,b3,4y,90.78994235934985,Asym
2018,b3,4y,752.1553150370332,xmid
2018,b3,4y,281.15391655744725,scal
2018,b4,2y,58.951767424924036,Asym
2018,b4,2y,395.1851262302251,xmid
2018,b4,2y,93.26187085656582,scal
2018,b4,4y,42.7567030487696,Asym
2018,b4,4y,292.71579939836494,xmid
2018,b4,4y,55.85030220852376,scal
2019,b1,4y,132.92851028664242,Asym
2019,b1,4y,635.5502763709582,xmid
2019,b1,4y,220.29931220816292,scal
2019,b1,2y,107.00999546750485,Asym
2019,b1,2y,593.3470252596214,xmid
2019,b1,2y,209.97030026971626,scal
2019,b2,4y,126.00614301503934,Asym
2019,b2,4y,621.6003191476078,xmid
2019,b2,4y,225.6513628861723,scal
2019,b2,2y,141.37683862876452,Asym
2019,b2,2y,776.6490863668049,xmid
2019,b2,2y,273.19906504997334,scal
2019,b3,4y,122.3191143808506,Asym
2019,b3,4y,579.8825462608314,xmid
2019,b3,4y,181.83982171250585,scal
2019,b3,2y,114.4748241344933,Asym
2019,b3,2y,655.2507975036647,xmid
2019,b3,2y,197.92408976531664,scal
2019,b4,4y,130.38245531651236,Asym
2019,b4,4y,651.0448170276952,xmid
2019,b4,4y,221.63361474292358,scal
2019,b4,2y,103.39207616376706,Asym
2019,b4,2y,600.9967921063205,xmid
2019,b4,2y,186.95294781902456,scal
2020,b1,2y,94.24791704577882,Asym
2020,b1,2y,536.1316221635784,xmid
2020,b1,2y,138.96320269414932,scal
2020,b1,4y,74.01821023400186,Asym
2020,b1,4y,407.9598494205901,xmid
2020,b1,4y,83.48858310213942,scal
2020,b2,4y,73.16557024676685,Asym
2020,b2,4y,420.34556217199076,xmid
2020,b2,4y,60.85219821228585,scal
2020,b2,2y,62.311625260547565,Asym
2020,b2,2y,422.99436563207337,xmid
2020,b2,2y,70.21046972652026,scal
2020,b3,2y,97.75738301797662,Asym
2020,b3,2y,541.510211573042,xmid
2020,b3,2y,136.7167538243212,scal
2020,b3,4y,93.53046214145766,Asym
2020,b3,4y,502.00669345893505,xmid
2020,b3,4y,131.69723149481723,scal
2020,b4,4y,100.00038065246149,Asym
2020,b4,4y,493.1680519233494,xmid
2020,b4,4y,134.8281070581662,scal
2020,b4,2y,84.12282502861657,Asym
2020,b4,2y,482.1874002239422,xmid
2020,b4,2y,104.40540639300652,scal
