year,block,rot_trt,beg,end,roots_added_kgha
2019,b1,4y,739.8989898989898,764.5202020202019,24.62121212121201
2019,b1,2y,542.2979797979798,1109.5328282828282,567.2348484848484
2019,b2,4y,1027.7777777777778,1701.3888888888891,673.6111111111113
2019,b2,2y,157.51262626262624,1322.2853535353534,1164.772727272727
2019,b3,4y,248.10606060606062,1604.79797979798,1356.6919191919192
2019,b3,2y,118.68686868686868,860.4797979797979,741.7929292929292
2019,b4,4y,441.2878787878788,1652.146464646465,1210.8585858585861
2019,b4,2y,67.8661616161616,1290.0883838383836,1222.222222222222
2020,b1,2y,2753.4722222222226,940.3409090909089,-1813.1313131313136
2020,b1,4y,280.9343434343434,1033.7752525252524,752.840909090909
2020,b2,4y,482.9545454545455,NA,NA
2020,b2,2y,135.7323232323232,1338.699494949495,1202.9671717171718
2020,b3,2y,181.50252525252526,734.8484848484849,553.3459595959596
2020,b3,4y,982.3232323232321,570.7070707070708,-411.6161616161613
2020,b4,4y,2048.2954545454545,792.9292929292927,-1255.3661616161617
2020,b4,2y,159.40656565656568,986.4267676767677,827.020202020202
