sample_id,year,site,rot,block,plot,long,lat,depth_cm,length_cm,elevation_m,sand_prct,silt_prct,clay_prct,bulkden_g.cm3
31,2014,mars,2,1,13,-93.78502,42.01333,0-15,15,336.2661,40.16,32.91,26.93,1.19
32,2014,mars,2,1,13,-93.78502,42.01333,15-30,15,336.2661,39.51,33.84,26.65,1.27
33,2014,mars,2,1,13,-93.78502,42.01333,30-60,30,336.2661,42.13,32.67,25.2,1.4
34,2014,mars,2,1,13,-93.78502,42.01333,60-90,30,336.2661,45.43,33.62,20.95,1.67
35,2014,mars,2,1,13,-93.78502,42.01333,90-100,10,336.2661,47.57,33.91,18.52,1.85
36,2014,mars,4,1,18,-93.78445,42.01334,0-15,15,335.7145,42.67,32.67,24.67,1.19
37,2014,mars,4,1,18,-93.78445,42.01334,15-30,15,335.7145,41.48,32.56,25.97,1.21
38,2014,mars,4,1,18,-93.78445,42.01334,30-60,30,335.7145,42.48,30.36,27.16,1.42
39,2014,mars,4,1,18,-93.78445,42.01334,60-90,30,335.7145,51.8,28.57,19.63,1.76
40,2014,mars,4,1,18,-93.78445,42.01334,90-100,10,335.7145,55.67,29.47,14.87,1.81
41,2014,mars,2,2,24,-93.78309723,42.01329554,0-15,15,334.3973,33.47,31.33,35.2,1.15
42,2014,mars,2,2,24,-93.78309723,42.01329554,15-30,15,334.3973,32.27,35.4,32.33,1.24
43,2014,mars,2,2,24,-93.78309723,42.01329554,30-60,30,334.3973,37.69,32.49,29.82,1.35
44,2014,mars,2,2,24,-93.78309723,42.01329554,60-90,30,334.3973,47.14,28.1,24.77,1.64
45,2014,mars,2,2,24,-93.78309723,42.01329554,90-100,10,334.3973,45.13,29.87,25,1.81
46,2014,mars,4,2,28,-93.78256892,42.01328577,0-15,15,333.345,30.19,36.84,32.98,1.09
47,2014,mars,4,2,28,-93.78256892,42.01328577,15-30,15,333.345,28.13,36.27,35.6,1.13
48,2014,mars,4,2,28,-93.78256892,42.01328577,30-60,30,333.345,33.64,34.64,31.71,1.28
49,2014,mars,4,2,28,-93.78256892,42.01328577,60-90,30,333.345,44.44,29.91,25.65,1.52
50,2014,mars,4,2,28,-93.78256892,42.01328577,90-100,10,333.345,49.5,29.11,21.39,1.42
51,2014,mars,2,3,34,-93.78495796,42.01256353,0-15,15,335.7098,33.27,26.28,40.45,1.18
52,2014,mars,2,3,34,-93.78495796,42.01256353,15-30,15,335.7098,31.31,26.84,41.86,1.35
53,2014,mars,2,3,34,-93.78495796,42.01256353,30-60,30,335.7098,31,18.73,50.27,1.36
54,2014,mars,2,3,34,-93.78495796,42.01256353,60-90,30,335.7098,35.4,21.76,42.85,1.48
55,2014,mars,2,3,34,-93.78495796,42.01256353,90-100,10,335.7098,35.09,27.43,37.48,1.51
56,2014,mars,4,3,37,-93.78431775,42.01254936,0-15,15,335.6308,43.71,17.3,38.99,1.14
57,2014,mars,4,3,37,-93.78431775,42.01254936,15-30,15,335.6308,45.64,21.59,32.78,1.18
58,2014,mars,4,3,37,-93.78431775,42.01254936,30-60,30,335.6308,50.47,14.87,34.67,1.38
59,2014,mars,4,3,37,-93.78431775,42.01254936,60-90,30,335.6308,56.5,15.34,28.15,1.71
60,2014,mars,4,3,37,-93.78431775,42.01254936,90-100,10,335.6308,56.46,16.98,26.56,1.71
61,2014,mars,2,4,44,-93.78269159,42.01260388,0-15,15,333.2051,24.13,37.33,38.53,1.1
62,2014,mars,2,4,44,-93.78269159,42.01260388,15-30,15,333.2051,17.47,38.73,43.8,1.15
63,2014,mars,2,4,44,-93.78269159,42.01260388,30-60,30,333.2051,24.22,34.46,41.32,1.33
64,2014,mars,2,4,44,-93.78269159,42.01260388,60-90,30,333.2051,25.75,37.49,36.76,1.4
65,2014,mars,2,4,44,-93.78269159,42.01260388,90-100,10,333.2051,30.42,32.76,36.82,1.53
66,2014,mars,4,4,46,-93.78269159,42.01260388,0-15,15,332.8101,24.85,35.51,39.64,1.09
67,2014,mars,4,4,46,-93.78269159,42.01260388,15-30,15,332.8101,26.8,36.13,37.07,1.2
68,2014,mars,4,4,46,-93.78269159,42.01260388,30-60,30,332.8101,23.57,33.95,42.48,1.39
69,2014,mars,4,4,46,-93.78269159,42.01260388,60-90,30,332.8101,28.91,34.64,36.44,1.56
70,2014,mars,4,4,46,-93.78269159,42.01260388,90-100,10,332.8101,33.47,33.47,33.07,1.68
